"ID","task","result","group","result_correct","correct_min","correct_max","key_id_task","time"
25,"task_4",5.62,"Control",0,0.6,0.7,"25_task_4",282
26,"task_4",NA,"Control",0,0.6,0.7,"26_task_4",339
1,"task_5",-1,"Intervention",1,0.9,1,"1_task_5",215
2,"task_5",-1,"Intervention",1,0.9,1,"2_task_5",87
3,"task_5",-1,"Intervention",1,0.9,1,"3_task_5",221
4,"task_5",-1,"Intervention",1,0.9,1,"4_task_5",113
5,"task_5",-1,"Intervention",1,0.9,1,"5_task_5",79
6,"task_5",NA,"Intervention",0,0.9,1,"6_task_5",312
7,"task_5",-1,"Intervention",1,0.9,1,"7_task_5",163
8,"task_5",NA,"Intervention",0,0.9,1,"8_task_5",165
9,"task_5",-1,"Intervention",1,0.9,1,"9_task_5",150
10,"task_5",-1,"Intervention",1,0.9,1,"10_task_5",357
11,"task_5",-1,"Intervention",1,0.9,1,"11_task_5",171
12,"task_5",-1,"Intervention",1,0.9,1,"12_task_5",130
13,"task_5",-1,"Intervention",1,0.9,1,"13_task_5",178
14,"task_5",-1,"Intervention",1,0.9,1,"14_task_5",88
15,"task_5",1,"Control",1,0.9,1,"15_task_5",341
16,"task_5",-1,"Control",1,0.9,1,"16_task_5",360
17,"task_5",2.5,"Control",0,0.9,1,"17_task_5",165
18,"task_5",-1,"Control",1,0.9,1,"18_task_5",533
19,"task_5",-1,"Control",1,0.9,1,"19_task_5",102
20,"task_5",1,"Control",1,0.9,1,"20_task_5",342
21,"task_5",0.8,"Control",0,0.9,1,"21_task_5",135
22,"task_5",1,"Control",1,0.9,1,"22_task_5",82
23,"task_5",1,"Control",1,0.9,1,"23_task_5",332
24,"task_5",NA,"Control",0,0.9,1,"24_task_5",253
25,"task_5",2.5,"Control",0,0.9,1,"25_task_5",242
26,"task_5",NA,"Control",0,0.9,1,"26_task_5",432
1,"task_6",11.59,"Intervention",1,11.5,11.6,"1_task_6",168
2,"task_6",11.59,"Intervention",1,11.5,11.6,"2_task_6",387
3,"task_6",NA,"Intervention",0,11.5,11.6,"3_task_6",146
4,"task_6",11.59,"Intervention",1,11.5,11.6,"4_task_6",198
5,"task_6",11.47,"Intervention",0,11.5,11.6,"5_task_6",180
6,"task_6",11.59,"Intervention",1,11.5,11.6,"6_task_6",207
7,"task_6",10.48,"Intervention",0,11.5,11.6,"7_task_6",384
8,"task_6",11.59,"Intervention",1,11.5,11.6,"8_task_6",510
9,"task_6",11.59,"Intervention",1,11.5,11.6,"9_task_6",265
10,"task_6",11.59,"Intervention",1,11.5,11.6,"10_task_6",134
11,"task_6",11.47,"Intervention",0,11.5,11.6,"11_task_6",157
12,"task_6",11.59,"Intervention",1,11.5,11.6,"12_task_6",124
13,"task_6",11.59,"Intervention",1,11.5,11.6,"13_task_6",226
14,"task_6",11.59,"Intervention",1,11.5,11.6,"14_task_6",183
15,"task_6",NA,"Control",0,11.5,11.6,"15_task_6",26
16,"task_6",131.47,"Control",0,11.5,11.6,"16_task_6",398
17,"task_6",NA,"Control",0,11.5,11.6,"17_task_6",189
18,"task_6",NA,"Control",0,11.5,11.6,"18_task_6",309
19,"task_6",11.69,"Control",0,11.5,11.6,"19_task_6",56
20,"task_6",8.53,"Control",0,11.5,11.6,"20_task_6",864
21,"task_6",14.75,"Control",0,11.5,11.6,"21_task_6",282
22,"task_6",11.51,"Control",1,11.5,11.6,"22_task_6",144
23,"task_6",13.42,"Control",0,11.5,11.6,"23_task_6",389
24,"task_6",NA,"Control",0,11.5,11.6,"24_task_6",223
25,"task_6",11.69,"Control",0,11.5,11.6,"25_task_6",492
26,"task_6",161.29,"Control",0,11.5,11.6,"26_task_6",884
